Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);Photo ID
SA;422010024;Lieksa;Pokronlampi;KM;27122;157;7025126;3653282;96;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;hampaanjälkiä?;KM 27122_157
SA;1000002408;Savonlinna;Kylmäniemi a;KM;27178;1113;6867384;3600157;80;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;hampaanjälkiä;KM 27178_1113
SA;577010024;Paimio;Toispuolojannummi;KM;27182;157;6716468;3263603;40,5;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 27182_157
SA;410010020;Laukaa;Hartikka;KM;27183;27;6920630;3451900;92;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;hampaanjälkiä;KM 27183_27
SA;410010020;Laukaa;Hartikka;KM;27183;120;6920630;3451900;92;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;hampaanjälkiä;KM 27183_120
SA;148010013;Inari;Saamen museo / Vuopaja;KM;27205;1054;7647620;3500800;121;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 27205_1054
SA;148010013;Inari;Saamen museo / Vuopaja;KM;27205;1057;7647620;3500800;121;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 27205_1057
SA;148010013;Inari;Saamen museo / Vuopaja;KM;27205;1110;7647620;3500800;121;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 27205_1110
SA;309010002;Outokumpu;Sätös;KM;27704;23;6959520;3607260;86;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 27704_23
SA;309010002;Outokumpu;Sätös;KM;27704;236;6959520;3607260;86;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 27704_236
